Schema	Table	InsertDateField	UpdateDateField	ReferenceTable	ReferenceKey	ReferenceInsertDate	ReferenceUpdateDate	MasterORTransaction	PMC	FiscalYear
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2003-04-01' AND '2004-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2003-04-01' AND '2004-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2003-04-01' AND '2004-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2003-04-01' AND '2004-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2003-04-01' AND '2004-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2003-04-01' AND '2004-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2003-04-01' AND '2004-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2003-04-01' AND '2004-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2002-04-01' AND '2003-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2002-04-01' AND '2003-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2002-04-01' AND '2003-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2002-04-01' AND '2003-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2002-04-01' AND '2003-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2002-04-01' AND '2003-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2002-04-01' AND '2003-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2002-04-01' AND '2003-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2002-04-01' AND '2003-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2002-04-01' AND '2003-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2001-04-01' AND '2002-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2001-04-01' AND '2002-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2001-04-01' AND '2002-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2001-04-01' AND '2002-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2001-04-01' AND '2002-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2001-04-01' AND '2002-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2001-04-01' AND '2002-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2001-04-01' AND '2002-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2001-04-01' AND '2002-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2001-04-01' AND '2002-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2000-04-01' AND '2001-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2000-04-01' AND '2001-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2000-04-01' AND '2001-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2000-04-01' AND '2001-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2000-04-01' AND '2001-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2000-04-01' AND '2001-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2000-04-01' AND '2001-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2000-04-01' AND '2001-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2000-04-01' AND '2001-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2000-04-01' AND '2001-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1999-04-01' AND '2000-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1999-04-01' AND '2000-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'1999-04-01' AND '2000-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1999-04-01' AND '2000-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1999-04-01' AND '2000-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'1999-04-01' AND '2000-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1999-04-01' AND '2000-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1999-04-01' AND '2000-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1999-04-01' AND '2000-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1999-04-01' AND '2000-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1998-04-01' AND '1999-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1998-04-01' AND '1999-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'1998-04-01' AND '1999-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1998-04-01' AND '1999-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1998-04-01' AND '1999-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'1998-04-01' AND '1999-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1998-04-01' AND '1999-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1998-04-01' AND '1999-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1998-04-01' AND '1999-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1998-04-01' AND '1999-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1997-04-01' AND '1998-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'1997-04-01' AND '1998-03-31'
